"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","22/905","76/8773",4.85650728344809e-06,8.35830464046065e-05,5.78475936809606e-05,"7048/207/5293/1488/3845/6776/867/2885/5894/1027/9846/6655/208/6464/5594/6777/1398/8517/673/3551/369/1870",22
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","44/905","215/8773",5.87992305931869e-06,9.51691889145362e-05,6.58663306506528e-05,"8795/6347/3553/7494/5330/207/5293/3326/6416/7409/3312/637/5599/2932/4217/114609/4067/23118/3845/818/2081/4688/7132/7187/10333/842/5452/6256/208/5594/6774/5879/57534/317/2919/8517/4615/5906/3551/22926/5606/841/9138/998",44
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","46/905","229/8773",6.11178277432801e-06,9.51691889145362e-05,6.58663306506528e-05,"4629/5058/207/5293/7409/3678/4660/324/5062/7852/4478/87/3845/4628/85464/10458/5829/81/23396/3687/9459/5894/10788/8826/3676/6655/89846/208/5594/5879/8394/10096/1398/10672/4636/673/3695/9170/369/10109/28984/4659/10097/10163/9138/998",46
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","21/905","72/8773",6.97695646228077e-06,0.000103702943780264,7.1772518631118e-05,"207/5293/5579/6789/83593/5336/3845/6776/2885/3082/842/5894/6256/6655/208/5594/6774/6777/673/369/1870",21
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","24/905","90/8773",8.77127256448968e-06,0.000122887406385154,8.50500317811304e-05,"11024/207/5293/5579/7409/10288/11027/2932/6850/4067/5336/3635/3845/5777/2885/2213/5894/6655/208/5594/5879/11025/8517/3551",24
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","28/905","114/8773",9.0192591842315e-06,0.000122887406385154,8.50500317811304e-05,"408/7421/6446/4208/5330/5579/4209/5338/1385/10488/6667/5894/5566/860/6256/2771/65125/10893/5594/10672/5142/673/8521/369/9826/9943/9138/9368",28
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","25/905","97/8773",1.10066944949444e-05,0.000143967563993872,9.96395501647596e-05,"207/5293/3326/1387/1385/2932/3845/10488/6934/2885/842/2950/5894/1027/6655/208/5594/8517/673/3551/369/1870/2033/2119/6935",25
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","28/905","120/8773",2.51809720293086e-05,0.000316699148214766,0.000219186598635683,"5330/207/5293/5579/6416/1387/5599/1385/2932/5336/3845/10488/6776/2885/5894/5566/6655/2771/4214/208/6464/5594/6774/6777/1398/51738/2033/5606",28
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","45/905","236/8773",3.0691857194773e-05,0.00036569659749896,0.000253097596852652,"5058/207/2549/5293/5579/6789/5921/1436/5062/5599/5338/10928/83593/115727/3363/5336/2791/3845/2782/2885/3082/5863/5894/5566/9846/6655/208/6464/22821/57148/5594/59345/284/5879/5966/54331/8517/5869/5906/3551/4303/1944/998/4763/2793",45
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","20/905","73/8773",3.17473247542435e-05,0.00036569659749896,0.000253097596852652,"207/5293/5366/637/332/538/4217/2956/4257/842/2950/7153/5980/540/208/5594/2067/317/1317/841",20
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","21/905","79/8773",3.33183659100363e-05,0.00036569659749896,0.000253097596852652,"207/2549/5293/5579/3716/3570/2932/5336/3845/10018/2885/3082/5894/6655/208/6464/5594/6774/673/369/4763",21
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","18/905","62/8773",3.35501465595376e-05,0.00036569659749896,0.000253097596852652,"23220/4853/4851/1387/9794/55534/3955/5663/1488/23013/7091/8650/1857/84441/23385/7088/2033/23462",18
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","19/905","68/8773",3.69398003707178e-05,0.000389655313587894,0.000269679357545138,"207/5293/6416/7409/5599/6850/4067/5336/3635/3845/2885/5894/9846/6655/3937/208/5594/5879/5606",19
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","22/905","86/8773",4.15507689532779e-05,0.000424596920241309,0.000293862346215617,"7048/207/5293/5366/324/5599/332/2932/2956/3845/10018/6934/2885/842/5894/4087/6655/208/5594/5879/673/369",22
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","40/905","204/8773",4.37270567742631e-05,0.000433295380763152,0.00029988252652206,"5293/5366/1387/8364/718/3716/1654/890/1385/6850/4067/87/3845/5829/81/10488/8294/4791/6776/2885/7187/5566/1027/2959/10014/3190/5594/6774/5879/5902/6777/5966/8517/5423/8900/2033/1960/841/9114/998",40
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","41/905","212/8773",4.90304669946872e-05,0.000471557726684198,0.000326363789593119,"5058/7133/207/920/5293/5579/637/5062/5599/7852/8450/5336/23118/2791/3845/8737/10053/5829/2782/891/7132/842/5894/2771/9133/208/5594/59345/5879/6891/54331/1398/8517/4615/3551/200315/2185/340061/5606/841/2793",41
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","36/905","180/8773",6.79572401962108e-05,0.000634914786976026,0.000439422756155949,"7421/3553/207/5289/1387/1520/718/3716/637/5599/1385/4802/4800/6850/4046/114609/64581/818/2213/7132/3687/10333/842/5894/208/5594/535/317/4615/5869/3460/3920/2033/7096/841/9114",36
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","25/905","108/8773",7.76175900944422e-05,0.00070502644335785,0.000487946838313014,"3553/207/5293/6416/9560/3716/5599/7297/114609/6351/23118/8737/6696/3455/7187/10333/208/5594/5879/8517/4615/3551/7096/5606/841",25
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","27/905","121/8773",8.01214783330963e-05,0.000708100632835743,0.000490074476290632,"4853/5330/207/5293/4851/5579/1387/10499/8648/2932/9282/7249/5336/3845/842/5894/5566/6256/208/23389/5594/8202/487/9969/54361/2033/5214",27
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","25/905","109/8773",9.10726025366855e-05,0.000783703711302531,0.000542399156381922,"207/5293/3326/5347/6793/4085/6195/5140/5599/890/9088/3845/22849/891/8697/132864/5894/5566/2771/9133/208/5594/673/369/8900",25
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","29/905","137/8773",0.000120629630339748,0.00101143305438712,0.000700010000622018,"2889/207/5293/10603/9322/23433/5140/5599/2932/2872/7249/5573/3845/867/2885/5894/5566/6655/208/6464/5594/3632/6720/1398/673/51422/3551/369/5256",29
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","38/905","203/8773",0.00018651682905182,0.00151395328946536,0.00104780285606004,"5058/207/2549/5293/5579/7409/3678/4660/10855/27250/4478/5336/3845/2316/5829/818/867/5777/2885/3082/3059/5894/5566/8826/4087/6655/208/5329/5594/6774/5879/673/6383/54361/369/4659/9138/998",38
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","18/905","70/8773",0.000189822889504831,0.00151395328946536,0.00104780285606004,"5058/6416/5599/4067/5336/9020/50848/523/1445/535/5879/2919/8517/3551/534/9114/998/102",18
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","25/905","114/8773",0.000194783587941256,0.00151652936325692,0.00104958574955815,"6347/3553/7133/207/5293/9252/6416/5599/1385/4217/23118/9020/8737/10488/7132/7187/208/5594/257397/2919/8517/3551/6372/5606/841",25
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","29/905","142/8773",0.000232441029594183,0.00176763294598367,0.00122337383996938,"3553/207/6416/718/5599/2932/4217/114609/23411/728/23118/9020/8737/6934/7132/7187/9663/51/208/257397/6720/2919/8517/4615/51422/3551/5606/841/10645",29
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","31/905","156/8773",0.000240552135450957,0.00178773973391962,0.00123728969191282,"5175/6446/55113/27072/1385/1788/23355/5029/23411/2057/818/5732/5777/6256/23339/9844/5594/89790/23250/5879/29933/487/286410/1398/5869/140885/80824/55754/10326/3988/102",31
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","27/905","131/8773",0.000323175981825978,0.00234841213460211,0.00162532949924176,"6446/7048/207/5293/1387/5347/6789/5599/23411/23710/3845/10018/891/2885/5894/1027/6655/9133/208/5594/6774/673/51422/3551/369/4303/2033",27
"Human Diseases","Infectious disease: viral","hsa05162","Measles","28/905","138/8773",0.000331431563948493,0.00235604611763385,0.00163061295764133,"3553/207/5293/3716/3312/637/5599/7297/2932/4478/4179/23118/103/3455/6776/2213/7187/842/1027/4600/208/6774/6777/317/8517/4615/3551/841",28
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","37/905","202/8773",0.000352625565874032,0.00245337361788954,0.00169797304956141,"2889/5058/207/5293/5579/7450/7409/3678/4660/5062/5599/2932/87/2316/7094/6696/5829/81/23396/2885/3082/5894/3676/6655/208/6464/5594/5879/8394/1398/4636/673/5906/3695/64098/4659/998",37
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","30/905","158/8773",0.000673101766858831,0.00458550578672578,0.00317361578672475,"207/10197/5293/3716/637/7297/2932/8554/3845/8737/3455/2885/7132/7187/842/5894/6256/6655/4600/208/5594/6774/317/8517/673/3551/369/1870/7122/841",30
"Organismal Systems","Immune system","hsa04611","Platelet activation","25/905","124/8773",0.000747510856050402,0.00498849081486697,0.00345252060259584,"5330/207/5293/7450/23533/6850/4067/5336/5294/8773/2982/7094/5566/54518/2771/3937/208/5594/10672/6916/2815/5906/8673/4659/9138",25
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","21/905","98/8773",0.000850919616514158,0.00548716346575219,0.00379765055572741,"56261/207/5293/5579/57153/5599/5338/7249/3845/7454/23396/2885/6667/5894/6655/208/5594/5879/8394/10163/5130",21
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","27/905","139/8773",0.000855796136860433,0.00548716346575219,0.00379765055572741,"4208/5330/207/5289/4209/23533/5140/5294/2791/3845/84557/6696/2782/30849/5894/5566/4087/2771/8678/10014/208/5594/59345/54331/10672/51422/2793",27
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","17/905","73/8773",0.00097763253493071,0.00614780459466043,0.00425487844150005,"5330/5293/5289/3707/3705/3631/5336/3635/5294/23396/5298/3632/8394/51763/64419/4534/253430",17
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","10/905","32/8773",0.00100639405713396,0.00620926144684535,0.00429741255777161,"5366/637/5599/332/10018/7132/842/8678/317/841",10
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","29/905","156/8773",0.00116411643198014,0.00704937172699083,0.00487885054338654,"6446/207/5293/5579/92335/253260/6195/55615/6396/79899/2932/7249/729438/3845/523/2885/7132/9663/5894/6655/208/5594/389541/1857/6249/673/3551/54361/534",29
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","52/905","331/8773",0.00123307868166268,0.00733121325279448,0.00507391227861198,"4853/207/5293/4851/7450/1387/3678/3716/324/9794/7297/890/1385/55534/2932/3955/7249/5663/3845/523/6696/5829/10488/6934/3455/2885/7132/7187/5894/5566/1027/3676/6655/4600/208/5594/5526/535/1857/8517/84441/3551/54361/3695/8900/2033/23462/534/841/9114/998/9368",52
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","33/905","186/8773",0.00127192809893736,0.00742715157772353,0.00514031092615663,"6347/3553/22861/5330/3326/3716/5586/5599/7297/4210/55914/23118/23710/22900/84557/55072/8737/3455/7187/91662/5594/55669/257397/2919/8517/4615/118429/3551/2634/340061/63940/140609/841",33
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","21/905","103/8773",0.00165983469054238,0.00952220954047999,0.0065902947085247,"8878/5599/4077/7030/23710/3845/84557/7316/6667/65018/7942/64750/665/8678/55669/5869/221960/79735/10075/23770/51024",21
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","14/905","58/8773",0.00185824692021712,0.0104766679812241,0.00725087273768931,"207/5293/324/2932/3845/6934/2885/842/5894/6655/208/5594/673/369",14
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","20/905","98/8773",0.00209294139066219,0.0115998616058735,0.00802823191779429,"4853/207/5293/4851/5599/3845/2885/6667/5894/5566/1027/6655/208/6464/5594/8202/673/369/1870/10498",20
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","37/905","222/8773",0.00214316348565631,0.0116802409968269,0.008083862270458,"7048/207/920/5293/6416/1387/4085/3716/5599/890/1385/4215/9020/3845/7094/10488/9232/4791/6776/8697/7132/5566/4087/4214/9133/208/5594/5902/6777/8517/3551/5423/1870/8900/2033/6688/200186",37
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","14/905","59/8773",0.00221026750540041,0.0118484831846875,0.0082003022202086,"3315/207/5293/5579/5336/3845/5829/842/5894/7867/208/5594/5879/998",14
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","27/905","148/8773",0.00224930313684605,0.0118632600927203,0.00821052927711207,"5330/207/2549/5293/23533/5338/56895/6850/7249/5336/5294/3845/23396/2885/5894/9846/6655/27128/9267/208/6464/9266/5594/8394/10672/2185/9170",27
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","25/905","135/8773",0.0026089939979258,0.0133692036715159,0.00925278863472046,"8795/207/5293/5366/1520/637/5599/332/4217/9020/3845/10018/8737/3563/2081/7132/842/5894/7846/208/5594/317/8517/3551/841",25
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","28/905","157/8773",0.00265636017411431,0.0133692036715159,0.00925278863472046,"5591/1387/5347/4085/8317/890/2932/26271/25836/9088/9232/891/8697/23063/23383/10735/1027/4087/9133/113130/5526/5885/902/23047/57082/1870/8900/2033",28
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","23/905","121/8773",0.0026913943930977,0.0133692036715159,0.00925278863472046,"5058/207/920/7006/5293/7409/5062/5599/2932/9020/3845/5777/2885/5894/5788/6655/3937/208/5594/5526/8517/3551/998",23
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","34/905","202/8773",0.00269837138324173,0.0133692036715159,0.00925278863472046,"207/5293/6416/3716/637/5599/7297/890/6850/4067/5336/23118/9020/10213/10018/8737/4791/3455/7187/842/1027/208/6774/5879/953/6891/317/8517/4615/3551/1870/8900/5606/841",34
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","24/905","129/8773",0.00295392541465734,0.0144169195610888,0.0099779098845456,"408/5330/7048/207/5293/6416/5599/1385/2791/3845/10488/2782/2885/5894/5566/4087/6655/2771/208/6464/5594/59345/54331/2793",24
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","22/905","115/8773",0.00303465212272405,0.0145931065313348,0.010099848396063,"5175/5293/5579/7409/7852/4478/83593/5336/50848/87/5829/81/4688/3676/2771/5879/4636/6494/5906/2185/7122/998",22
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","20/905","102/8773",0.00342161996447113,0.0162155033098849,0.0112227046889595,"6347/3553/5330/7048/207/5293/6416/718/5599/7132/10333/4087/2771/208/5594/8517/4615/3460/3551/841",20
"Human Diseases","Cancer: specific types","hsa05214","Glioma","16/905","75/8773",0.00355237771211887,0.0165946787408982,0.0114851309489558,"207/5293/5579/5336/3845/818/2885/57118/5894/6655/208/6464/5594/673/369/1870",16
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","29/905","168/8773",0.00369396295170693,0.0170130406367347,0.0117746780521422,"7048/207/2549/5293/5579/3162/324/2932/5336/3845/6934/8289/4257/2885/3082/2950/7296/5894/4087/6655/208/6464/5594/1857/673/54361/369/1870/6599",29
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","7/905","21/8773",0.00385551131164974,0.0175104472070759,0.0121189317544546,"50515/51363/56548/64131/22856/29940/54480",7
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","21/905","111/8773",0.00427374434053928,0.0191440328678951,0.0132495318416142,"207/3716/3312/23533/5599/7297/5294/23118/10105/7132/842/2771/208/5594/6774/8517/4615/3460/3551/5606/841",21
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","22/905","121/8773",0.00573752145819357,0.0253536421193148,0.0175471851139633,"5330/207/5293/5579/259230/637/5599/5338/29956/4217/3845/7132/81537/5894/9846/2771/208/5594/5526/5879/10672/79603",22
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","19/905","100/8773",0.00609404832741058,0.02607522998274,0.0180465940649898,"6347/3553/5330/7048/207/5293/5579/5599/5336/3845/6776/1027/4087/208/5594/6774/5879/6777/998",19
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","18/905","93/8773",0.00614003886443724,0.02607522998274,0.0180465940649898,"7048/1387/87/83605/10458/7454/81/6934/5777/8826/64750/5594/5879/4636/5906/2033/10163/998",18
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","18/905","93/8773",0.00614003886443724,0.02607522998274,0.0180465940649898,"5330/5579/6416/5599/5338/4215/3845/818/2885/5894/5566/6655/4214/5594/10746/2185/5606/998",18
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","10/905","41/8773",0.00743961141604906,0.0311891401672826,0.02158591706411,"1612/9252/3845/5894/5594/673/369/1870/23604/1890",10
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","23/905","132/8773",0.00813539738494116,0.0336743663908324,0.0233059352133558,"8795/5058/5293/6452/5579/7409/637/6850/5336/3845/3455/5777/2885/5894/6655/3937/6464/5594/5879/673/3460/2185/369",23
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","17/905","89/8773",0.00870840236977913,0.0351685697746751,0.0243400692147276,"207/920/5293/3716/114609/4215/3845/5777/5894/208/5594/6774/8517/4615/3460/3551/5606",17
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","15/905","75/8773",0.00871148058638741,0.0351685697746751,0.0243400692147276,"8795/5366/637/7249/8493/891/50484/64326/842/6241/9133/317/143686/4194/841",15
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","28/905","171/8773",0.00893506252073231,0.0356312859058471,0.0246603137606861,"8795/6347/3553/3838/207/5293/5579/1387/3716/637/7297/103/3455/7132/7187/842/5894/4600/208/5594/317/8517/4615/3460/3551/4928/2033/841",28
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","8/905","30/8773",0.00922651724592009,0.0363502546917575,0.0251579100554574,"3553/6573/10057/6470/8517/3551/7298/8836",8
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","19/905","104/8773",0.00933798028138431,0.0363514232382461,0.0251587188032284,"3553/5058/207/5293/5599/6850/4046/5336/9020/3845/4791/64581/5894/208/5594/8517/3551/1960/841",19
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","18/905","97/8773",0.00956431751642405,0.036794492092596,0.0254653655236058,"5330/5293/5289/5579/3707/3705/3631/9807/5336/3635/23396/5298/8760/3632/8394/64419/4534/253430",18
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","19/905","105/8773",0.0103345760366834,0.0392954228371565,0.0271962527281141,"3553/5579/9560/6850/114609/4067/6351/5336/23118/9020/8737/4791/7132/7187/257397/2919/8517/4615/3551",19
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","12/905","56/8773",0.010466712743655,0.0393404030709792,0.027227383422696,"408/23288/2932/339745/23295/1455/5566/64750/8452/8405/156/1453",12
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","13/905","63/8773",0.0108609461720742,0.0394654270997258,0.0273139122048642,"920/1387/7852/9146/9972/23299/7251/22936/10955/4600/200315/256987/2033",13
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","20/905","113/8773",0.0110209972879614,0.0394654270997258,0.0273139122048642,"5330/3784/207/5293/5579/23533/1385/5294/2791/3845/10488/2782/818/5566/2771/208/5594/59345/54331/2793",20
